Topic,Characteristics,Total
Income of households in 2015,      Average after-tax income of one-person households in 2015 ($),44608
Income of households in 2015,    Total - Income statistics in 2015 for two-or-more-person private households - 25% sample data,61390
Income of households in 2015,      Average total income of two-or-more-person households in 2015 ($),120843
Income of households in 2015,      Average after-tax income of two-or-more-person households in 2015 ($),99182
Income of households in 2015,Total - Household total income groups in 2015 for private households - 100% data,87170
Income of households in 2015,  Under $5;000,1115
Income of households in 2015,  $5;000 to $9;999,675
Income of households in 2015,  $10;000 to $14;999,1310
Income of households in 2015,  $15;000 to $19;999,2715
Income of households in 2015,  $20;000 to $24;999,3370
Income of households in 2015,  $25;000 to $29;999,2680
Income of households in 2015,  $30;000 to $34;999,2960
Income of households in 2015,  $35;000 to $39;999,3170
Income of households in 2015,  $40;000 to $44;999,3335
Income of households in 2015,  $45;000 to $49;999,3210
Income of households in 2015,  $50;000 to $59;999,6310
Income of households in 2015,  $60;000 to $69;999,5945
Income of households in 2015,  $70;000 to $79;999,5690
Income of households in 2015,  $80;000 to $89;999,5375
Income of households in 2015,  $90;000 to $99;999,4855
Income of households in 2015,  $100;000 and over,34450
Income of households in 2015,    $100;000 to $124;999,10130
Income of households in 2015,    $125;000 to $149;999,7695
Income of households in 2015,    $150;000 to $199;999,9275
Income of households in 2015,    $200;000 and over,7350
Income of households in 2015,Total - Household after-tax income groups in 2015 for private households - 100% data,87170
Income of households in 2015,  Under $5;000,1165
Income of households in 2015,  $5;000 to $9;999,705
Income of households in 2015,  $10;000 to $14;999,1335
Income of households in 2015,  $15;000 to $19;999,2830
Income of households in 2015,  $20;000 to $24;999,3640
Income of households in 2015,  $25;000 to $29;999,3170
Income of households in 2015,  $30;000 to $34;999,3645
Income of households in 2015,  $35;000 to $39;999,4110
Income of households in 2015,  $40;000 to $44;999,4040
Income of households in 2015,  $45;000 to $49;999,3965
Income of households in 2015,  $50;000 to $59;999,7550
Income of households in 2015,  $60;000 to $69;999,7250
Income of households in 2015,  $70;000 to $79;999,6705
Income of households in 2015,  $80;000 to $89;999,5915
Income of households in 2015,  $90;000 to $99;999,5245
Income of households in 2015,  $100;000 and over,25890
Income of households in 2015,    $100;000 to $124;999,10275
Income of households in 2015,    $125;000 to $149;999,6615
Income of households in 2015,    $150;000 and over,8995
Income of economic families in 2015,Total - Income statistics in 2015 for economic families in private households - 100% data,58055
Income of economic families in 2015,  Median total income of economic families in 2015 ($),102942
Income of economic families in 2015,  Median after-tax income of economic families in 2015 ($),87540
Income of economic families in 2015,  Average family size of economic families,3
Income of economic families in 2015,Total - Income statistics in 2015 for couple economic families without children or other relatives in private households - 100% data,21560
Income of economic families in 2015,  Median total income of couple economic families without children or other relatives in 2015 ($),98410
Income of economic families in 2015,  Median after-tax income of couple economic families without children or other relatives in 2015 ($),82955
Income of economic families in 2015,  Average family size of couple economic families without children or other relatives,2
Income of economic families in 2015,Total - Income statistics in 2015 for couple economic families with children in private households - 100% data,24885
Income of economic families in 2015,  Median total income of couple economic families with children in 2015 ($),130091
Income of economic families in 2015,  Median after-tax income of couple economic families with children in 2015 ($),109062
Income of economic families in 2015,  Average family size of couple economic families with children,4
Income of economic families in 2015,Total - Income statistics in 2015 for lone-parent economic families in private households - 100% data,9720
Income of economic families in 2015,  Median total income of lone-parent economic families in 2015 ($),58180
Income of economic families in 2015,  Median after-tax income of lone-parent economic families in 2015 ($),53570
Income of economic families in 2015,  Average family size of lone-parent economic families,2.8
Income of economic families in 2015,Total - Income statistics in 2015 for economic families in private households - 25% sample data,58170
Income of economic families in 2015,  Average total income of economic families in 2015 ($),120888
Income of economic families in 2015,  Average after-tax income of economic families in 2015 ($),98937
Income of economic families in 2015,Total - Income statistics in 2015 for couple economic families without children or other relatives in private households - 25% sample data,21565
Income of economic families in 2015,  Average total income of couple economic families without children or other relatives in 2015 ($),116277
Income of economic families in 2015,  Average after-tax income of couple economic families without children or other relatives in 2015 ($),94229
Income of economic families in 2015,Total - Income statistics in 2015 for couple economic families with children in private households - 25% sample data,24915
Income of economic families in 2015,  Average total income of couple economic families with children in 2015 ($),146064
Income of economic families in 2015,  Average after-tax income of couple economic families with children in 2015 ($),118900
Income of economic families in 2015,Total - Income statistics in 2015 for lone-parent economic families in private households - 25% sample data,9725
Income of economic families in 2015,  Average total income of lone-parent economic families in 2015 ($),70236
Income of economic families in 2015,  Average after-tax income of lone-parent economic families in 2015 ($),60619
Income of economic families in 2015,Total - Income statistics in 2015 for persons aged 15 years and over not in economic families in private households - 100% data,36505
Income of economic families in 2015,  Median total income in 2015 for persons aged 15 years and over not in economic families ($),40444
Income of economic families in 2015,  Median after-tax income in 2015 for persons aged 15 years and over not in economic families ($),35665
Income of economic families in 2015,Total - Income statistics in 2015 for persons aged 15 years and over not in economic families in private households - 25% sample data,36275
Income of economic families in 2015,  Average total income in 2015 for persons aged 15 years and over not in economic families ($),49299
Income of economic families in 2015,  Average after-tax income in 2015 for persons aged 15 years and over not in economic families ($),40900
Income of economic families in 2015,Total - Economic family income decile group for the population in private households - 100% data,211305
Income of economic families in 2015,  In the bottom half of the distribution,88065
Income of economic families in 2015,    In the bottom decile,17175
Income of economic families in 2015,    In the second decile,17780
Income of economic families in 2015,    In the third decile,16645
Income of economic families in 2015,    In the fourth decile,17585
Income of economic families in 2015,    In the fifth decile,18880
Income of economic families in 2015,  In the top half of the distribution,123245
Income of economic families in 2015,    In the sixth decile,20685
Income of economic families in 2015,    In the seventh decile,22135
Income of economic families in 2015,    In the eighth decile,25295
Income of economic families in 2015,    In the ninth decile,27700
Income of economic families in 2015,    In the top decile,27425
Low income in 2015,Total - Low-income status in 2015 for the population in private households to whom low-income concepts are applicable - 100% data,211305
Low income in 2015,  0 to 17 years,46610
Low income in 2015,    0 to 5 years,16790
Low income in 2015,  18 to 64 years,137525
Low income in 2015,  65 years and over,27175
Low income in 2015,In low income based on the Low-income measure; after tax (LIM-AT),24900
Low income in 2015,  0 to 17 years,8380
Low income in 2015,    0 to 5 years,3380
Low income in 2015,  18 to 64 years,13795
Low income in 2015,  65 years and over,2730
Low income in 2015,Prevalence of low income based on the Low-income measure; after tax (LIM-AT) (%),11.8
Low income in 2015,  0 to 17 years (%),18
Low income in 2015,    0 to 5 years (%),20.1
Low income in 2015,  18 to 64 years (%),10
Low income in 2015,  65 years and over (%),10
Low income in 2015,In low income based on the Low-income cut-offs; after tax (LICO-AT),14180
Low income in 2015,  0 to 17 years,4140
Low income in 2015,    0 to 5 years,1735
Low income in 2015,  18 to 64 years,9575
Low income in 2015,  65 years and over,475
Low income in 2015,Prevalence of low income based on the Low-income cut-offs; after tax (LICO-AT) (%),6.7
Low income in 2015,  0 to 17 years (%),8.9
Low income in 2015,    0 to 5 years (%),10.3
Low income in 2015,  18 to 64 years (%),7
Low income in 2015,  65 years and over (%),1.7
Knowledge of languages,Total - Knowledge of languages for the population in private households - 25% sample data,211340
Knowledge of languages,  Official languages,208670
Knowledge of languages,    English,208390
Knowledge of languages,    French,13075
Knowledge of languages,  Non-official languages,45390
Knowledge of languages,    Aboriginal languages,755
Knowledge of languages,      Algonquian languages,620
Knowledge of languages,        Blackfoot,0
Knowledge of languages,        Cree-Montagnais languages,530
Knowledge of languages,          Atikamekw,0
Knowledge of languages,          Montagnais (Innu),0
Knowledge of languages,          Moose Cree,0
Knowledge of languages,          Naskapi,0
Knowledge of languages,          Northern East Cree,0
Knowledge of languages,          Plains Cree,90
Knowledge of languages,          Southern East Cree,0
Knowledge of languages,          Swampy Cree,40
Knowledge of languages,          Woods Cree,40
Knowledge of languages,          Cree; n.o.s.,365
Knowledge of languages,        Eastern Algonquian languages,0
Knowledge of languages,          Malecite,0
Knowledge of languages,          Mi'kmaq,0
Knowledge of languages,        Ojibway-Potawatomi languages,120
Knowledge of languages,          Algonquin,0
Knowledge of languages,          Ojibway,115
Knowledge of languages,          Oji-Cree,0
Knowledge of languages,          Ottawa (Odawa),0
Knowledge of languages,        Algonquian languages; n.i.e.,0
Knowledge of languages,      Athabaskan languages,10
Knowledge of languages,        Northern Athabaskan languages,10
Knowledge of languages,          Babine (Wetsuwet'en),0
Knowledge of languages,          Beaver,0
Knowledge of languages,          Carrier,0
Knowledge of languages,          Chilcotin,0
Knowledge of languages,          Dene,10
Knowledge of languages,          Dogrib (Tlicho),0
Knowledge of languages,          Gwich'in,0
Knowledge of languages,          Sarsi (Sarcee),0
Knowledge of languages,          Sekani,0
Knowledge of languages,          Slavey-Hare languages,0
Knowledge of languages,            North Slavey (Hare),0
Knowledge of languages,            South Slavey,0
Knowledge of languages,            Slavey; n.o.s.,0
Knowledge of languages,          Tahltan languages,0
Knowledge of languages,            Kaska (Nahani),0
Knowledge of languages,            Tahltan,0
Knowledge of languages,          Tutchone languages,0
Knowledge of languages,            Northern Tutchone,0
Knowledge of languages,            Southern Tutchone,0
Knowledge of languages,        Athabaskan languages; n.i.e.,0
Knowledge of languages,      Haida,0
Knowledge of languages,      Inuit languages,0
Knowledge of languages,        Inuinnaqtun (Inuvialuktun),0
Knowledge of languages,        Inuktitut,0
Knowledge of languages,        Inuit languages; n.i.e.,0
Knowledge of languages,      Iroquoian languages,0
Knowledge of languages,        Cayuga,0
Knowledge of languages,        Mohawk,0
Knowledge of languages,        Oneida,0
Knowledge of languages,        Iroquoian languages; n.i.e.,0
Knowledge of languages,      Kutenai,0
Knowledge of languages,      Michif,25
Knowledge of languages,      Salish languages,0
Knowledge of languages,        Comox,0
Knowledge of languages,        Halkomelem,0
Knowledge of languages,        Lillooet,0
Knowledge of languages,        Okanagan,0
Knowledge of languages,        Shuswap (Secwepemctsin),0
Knowledge of languages,        Squamish,0
Knowledge of languages,        Straits,0
Knowledge of languages,        Thompson (Ntlakapamux),0
Knowledge of languages,        Salish languages; n.i.e.,0
Knowledge of languages,      Siouan languages,80
Knowledge of languages,        Dakota,50
Knowledge of languages,        Stoney,0
Knowledge of languages,        Siouan languages; n.i.e.,25
Knowledge of languages,      Tlingit,0
Knowledge of languages,      Tsimshian languages,0
Knowledge of languages,        Gitxsan (Gitksan),0
Knowledge of languages,        Nisga'a,0
Knowledge of languages,        Tsimshian,0
Knowledge of languages,      Wakashan languages,0
Knowledge of languages,        Haisla,0
Knowledge of languages,        Heiltsuk,0
Knowledge of languages,        Kwakiutl (Kwak'wala),0
Knowledge of languages,        Nuu-chah-nulth (Nootka),0
Knowledge of languages,        Wakashan languages; n.i.e.,0
Knowledge of languages,      Aboriginal languages; n.o.s.,25
Knowledge of languages,    Non-Aboriginal languages,44660
Knowledge of languages,      Afro-Asiatic languages,3610
Knowledge of languages,        Berber languages,25
Knowledge of languages,          Kabyle,0
Knowledge of languages,          Berber languages; n.i.e.,20
Knowledge of languages,        Cushitic languages,790
Knowledge of languages,          Bilen,35
Knowledge of languages,          Oromo,50
Knowledge of languages,          Somali,715
Knowledge of languages,          Cushitic languages; n.i.e.,0
Knowledge of languages,        Semitic languages,2940
Knowledge of languages,          Amharic,240
Knowledge of languages,          Arabic,2260
Knowledge of languages,          Assyrian Neo-Aramaic,50
Knowledge of languages,          Chaldean Neo-Aramaic,0
Knowledge of languages,          Harari,0
Knowledge of languages,          Hebrew,310
Knowledge of languages,          Maltese,0
Knowledge of languages,          Tigrigna,220
Knowledge of languages,          Semitic languages; n.i.e.,10
Knowledge of languages,        Afro-Asiatic languages; n.i.e.,30
Knowledge of languages,      Austro-Asiatic languages,1480
Knowledge of languages,        Khmer (Cambodian),95
Knowledge of languages,        Vietnamese,1385
Knowledge of languages,        Austro-Asiatic languages; n.i.e.,0
Knowledge of languages,      Austronesian languages,7815
Knowledge of languages,        Bikol,20
Knowledge of languages,        Cebuano,790
Knowledge of languages,        Fijian,0
Knowledge of languages,        Hiligaynon,110
Knowledge of languages,        Ilocano,405
Knowledge of languages,        Malagasy,0
Knowledge of languages,        Malay,70
Knowledge of languages,        Pampangan (Kapampangan; Pampango),70
Knowledge of languages,        Pangasinan,10
Knowledge of languages,        Tagalog (Pilipino; Filipino),7505
Knowledge of languages,        Waray-Waray,10
Knowledge of languages,        Austronesian languages; n.i.e.,25
Knowledge of languages,      Creole languages,170
Knowledge of languages,        Haitian Creole,0
Knowledge of languages,        Creole; n.o.s.,45
Knowledge of languages,        Creole languages; n.i.e.,125
Knowledge of languages,      Dravidian languages,820
Knowledge of languages,        Kannada,50
Knowledge of languages,        Malayalam,405
Knowledge of languages,        Tamil,225
Knowledge of languages,        Telugu,190
Knowledge of languages,        Dravidian languages; n.i.e.,10
Knowledge of languages,      Hmong-Mien languages,0
Knowledge of languages,      Indo-European languages,22335
Knowledge of languages,        Albanian,290
Knowledge of languages,        Armenian,25
Knowledge of languages,        Balto-Slavic languages,3790
Knowledge of languages,          Baltic languages,60
Knowledge of languages,            Latvian,45
Knowledge of languages,            Lithuanian,15
Knowledge of languages,          Slavic languages,3760
Knowledge of languages,            Belarusan,10
Knowledge of languages,            Bosnian,115
Knowledge of languages,            Bulgarian,25
Knowledge of languages,            Croatian,235
Knowledge of languages,            Czech,30
Knowledge of languages,            Macedonian,10
Knowledge of languages,            Polish,545
Knowledge of languages,            Russian,1575
Knowledge of languages,            Serbian,225
Knowledge of languages,            Serbo-Croatian,10
Knowledge of languages,            Slovak,30
Knowledge of languages,            Slovene (Slovenian),40
Knowledge of languages,            Ukrainian,1590
Knowledge of languages,            Slavic languages; n.i.e.,0
Knowledge of languages,        Celtic languages,35
Knowledge of languages,          Scottish Gaelic,15
Knowledge of languages,          Welsh,0
Knowledge of languages,          Celtic languages; n.i.e.,20
Knowledge of languages,        Germanic languages,3070
Knowledge of languages,          Afrikaans,280
Knowledge of languages,          Danish,40
Knowledge of languages,          Dutch,260
Knowledge of languages,          Frisian,0
Knowledge of languages,          German,2365
Knowledge of languages,          Icelandic,25
Knowledge of languages,          Norwegian,40
Knowledge of languages,          Swedish,25
Knowledge of languages,          Vlaams (Flemish),15
Knowledge of languages,          Yiddish,60
Knowledge of languages,          Germanic languages; n.i.e.,0
Knowledge of languages,        Greek,860
Knowledge of languages,        Indo-Iranian languages,11330
Knowledge of languages,          Indo-Aryan languages,10505
Knowledge of languages,            Bengali,1295
Knowledge of languages,            Gujarati,1460
Knowledge of languages,            Hindi,3665
Knowledge of languages,            Kashmiri,30
Knowledge of languages,            Konkani,25
Knowledge of languages,            Marathi,95
Knowledge of languages,            Nepali,485
Knowledge of languages,            Oriya (Odia),10
Knowledge of languages,            Punjabi (Panjabi),3620
Knowledge of languages,            Sindhi,60
Knowledge of languages,            Sinhala (Sinhalese),85
Knowledge of languages,            Urdu,3495
Knowledge of languages,          Iranian languages,1000
Knowledge of languages,            Kurdish,40
Knowledge of languages,            Pashto,320
Knowledge of languages,            Persian (Farsi),660
Knowledge of languages,          Indo-Iranian languages; n.i.e.,100
Knowledge of languages,        Italic (Romance) languages,3430
Knowledge of languages,          Catalan,0
Knowledge of languages,          Italian,545
Knowledge of languages,          Portuguese,155
Knowledge of languages,          Romanian,260
Knowledge of languages,          Spanish,2545
Knowledge of languages,          Italic (Romance) languages; n.i.e.,10
Knowledge of languages,      Japanese,410
Knowledge of languages,      Kartvelian languages,0
Knowledge of languages,        Georgian,0
Knowledge of languages,      Korean,640
Knowledge of languages,      Mongolic languages,0
Knowledge of languages,        Mongolian,10
Knowledge of languages,      Niger-Congo languages,1965
Knowledge of languages,        Akan (Twi),175
Knowledge of languages,        Bamanankan,0
Knowledge of languages,        Edo,20
Knowledge of languages,        Ewe,35
Knowledge of languages,        Fulah (Pular; Pulaar; Fulfulde),0
Knowledge of languages,        Ga,10
Knowledge of languages,        Ganda,20
Knowledge of languages,        Igbo,400
Knowledge of languages,        Lingala,65
Knowledge of languages,        Rundi (Kirundi),205
Knowledge of languages,        Kinyarwanda (Rwanda),50
Knowledge of languages,        Shona,50
Knowledge of languages,        Swahili,495
Knowledge of languages,        Wolof,20
Knowledge of languages,        Yoruba,395
Knowledge of languages,        Niger-Congo languages; n.i.e.,315
Knowledge of languages,      Nilo-Saharan languages,90
Knowledge of languages,        Dinka,40
Knowledge of languages,        Nilo-Saharan languages; n.i.e.,45
Knowledge of languages,      Sign languages,260
Knowledge of languages,        American Sign Language,85
Knowledge of languages,        Quebec Sign Language,0
Knowledge of languages,        Sign languages; n.i.e.,175
Knowledge of languages,      Sino-Tibetan languages,5445
Knowledge of languages,        Chinese languages,4990
Knowledge of languages,          Cantonese,1680
Knowledge of languages,          Hakka,25
Knowledge of languages,          Mandarin,3305
Knowledge of languages,          Min Dong,0
Knowledge of languages,          Min Nan (Chaochow; Teochow; Fukien; Taiwanese),140
Knowledge of languages,          Wu (Shanghainese),10
Knowledge of languages,          Chinese; n.o.s.,485
Knowledge of languages,          Chinese languages; n.i.e.,0
Knowledge of languages,        Tibeto-Burman languages,455
Knowledge of languages,          Burmese,140
Knowledge of languages,          Karenic languages,335
Knowledge of languages,          Tibetan,0
Knowledge of languages,          Tibeto-Burman languages; n.i.e.,15
Knowledge of languages,      Tai-Kadai languages,320
Knowledge of languages,        Lao,230
Knowledge of languages,        Thai,120
Knowledge of languages,        Tai-Kadai languages; n.i.e.,0
Knowledge of languages,      Turkic languages,245
Knowledge of languages,        Azerbaijani,10
Knowledge of languages,        Turkish,220
Knowledge of languages,        Uyghur,0
Knowledge of languages,        Uzbek,20
Knowledge of languages,        Turkic languages; n.i.e.,0
Knowledge of languages,      Uralic languages,505
Knowledge of languages,        Estonian,0
Knowledge of languages,        Finnish,25
Knowledge of languages,        Hungarian,475
Knowledge of languages,        Uralic languages; n.i.e.,0
Knowledge of languages,      Other languages; n.i.e.,155
Citizenship,Total - Citizenship for the population in private households - 25% sample data,211345
Citizenship,  Canadian citizens,187730
Citizenship,    Canadian citizens aged under 18,41805
Citizenship,    Canadian citizens aged 18 and over,145935
Citizenship,  Not Canadian citizens,23610
Immigrant status and period of immigration,Total - Immigrant status and period of immigration for the population in private households - 25% sample data,211340
Immigrant status and period of immigration,  Non-immigrants,170925
Immigrant status and period of immigration,  Immigrants,36120
Immigrant status and period of immigration,    Before 1981,4950
Immigrant status and period of immigration,    1981 to 1990,1805
Immigrant status and period of immigration,    1991 to 2000,2950
Immigrant status and period of immigration,    2001 to 2010,10335
Immigrant status and period of immigration,      2001 to 2005,2880
Immigrant status and period of immigration,      2006 to 2010,7460
Immigrant status and period of immigration,    2011 to 2016,16075
Immigrant status and period of immigration,  Non-permanent residents,4300
Age at immigration,Total - Age at immigration for the immigrant population in private households - 25% sample data,36120
Age at immigration,  Under 5 years,3730
Age at immigration,  5 to 14 years,6345
Age at immigration,  15 to 24 years,6700
Age at immigration,  25 to 44 years,16440
Age at immigration,  45 years and over,2900
Immigrants by selected place of birth,Total - Selected places of birth for the immigrant population in private households - 25% sample data,36115
Immigrants by selected place of birth,  Americas,2745
Immigrants by selected place of birth,    Brazil,30
Immigrants by selected place of birth,    Colombia,50
Immigrants by selected place of birth,    El Salvador,170
Immigrants by selected place of birth,    Guyana,100
Immigrants by selected place of birth,    Haiti,20
Immigrants by selected place of birth,    Jamaica,395
Immigrants by selected place of birth,    Mexico,215
Immigrants by selected place of birth,    Peru,55
Immigrants by selected place of birth,    Trinidad and Tobago,90
Immigrants by selected place of birth,    United States,1065
Immigrants by selected place of birth,    Other places of birth in Americas,555
Immigrants by selected place of birth,  Europe,6055
Immigrants by selected place of birth,    Bosnia and Herzegovina,170
Immigrants by selected place of birth,    Croatia,195
Immigrants by selected place of birth,    France,65
Immigrants by selected place of birth,    Germany,530
Immigrants by selected place of birth,    Greece,315
Immigrants by selected place of birth,    Hungary,145
Immigrants by selected place of birth,    Ireland,200
Immigrants by selected place of birth,    Italy,265
Immigrants by selected place of birth,    Netherlands,210
Immigrants by selected place of birth,    Poland,350
Immigrants by selected place of birth,    Portugal,30
Immigrants by selected place of birth,    Romania,185
Immigrants by selected place of birth,    Russian Federation,230
Immigrants by selected place of birth,    Serbia,95
Immigrants by selected place of birth,    Ukraine,820
Immigrants by selected place of birth,    United Kingdom,1550
Immigrants by selected place of birth,    Other places of birth in Europe,710
Immigrants by selected place of birth,  Africa,4140
Immigrants by selected place of birth,    Algeria,40
Immigrants by selected place of birth,    Egypt,160
Immigrants by selected place of birth,    Ethiopia,295
Immigrants by selected place of birth,    Kenya,180
Immigrants by selected place of birth,    Morocco,65
Immigrants by selected place of birth,    Nigeria,790
Immigrants by selected place of birth,    Somalia,455
Immigrants by selected place of birth,    South Africa; Republic of,435
Immigrants by selected place of birth,    Other places of birth in Africa,1725
Immigrants by selected place of birth,  Asia,23050
Immigrants by selected place of birth,    Afghanistan,305
Immigrants by selected place of birth,    Bangladesh,870
Immigrants by selected place of birth,    China,2625
Immigrants by selected place of birth,    Hong Kong,320
Immigrants by selected place of birth,    India,4255
Immigrants by selected place of birth,    Iran,200
Immigrants by selected place of birth,    Iraq,200
Immigrants by selected place of birth,    Japan,85
Immigrants by selected place of birth,    Korea; South,385
Immigrants by selected place of birth,    Lebanon,65
Immigrants by selected place of birth,    Pakistan,2560
Immigrants by selected place of birth,    Philippines,7280
Immigrants by selected place of birth,    Sri Lanka,130
Immigrants by selected place of birth,    Syria,450
Immigrants by selected place of birth,    Taiwan,80
Immigrants by selected place of birth,    Viet Nam,1105
Immigrants by selected place of birth,    Other places of birth in Asia,2125
Immigrants by selected place of birth,  Oceania and other places of birth,125
Recent immigrants by selected places of birth,Total - Selected places of birth for the recent immigrant population in private households - 25% sample data,16075
Recent immigrants by selected places of birth,  Americas,515
Recent immigrants by selected places of birth,    Brazil,10
Recent immigrants by selected places of birth,    Colombia,15
Recent immigrants by selected places of birth,    Cuba,20
Recent immigrants by selected places of birth,    Haiti,0
Recent immigrants by selected places of birth,    Jamaica,145
Recent immigrants by selected places of birth,    Mexico,65
Recent immigrants by selected places of birth,    United States,160
Recent immigrants by selected places of birth,    Venezuela,10
Recent immigrants by selected places of birth,    Other places of birth in Americas,90
Recent immigrants by selected places of birth,  Europe,1415
Recent immigrants by selected places of birth,    France,25
Recent immigrants by selected places of birth,    Germany,20
Recent immigrants by selected places of birth,    Ireland,115
Recent immigrants by selected places of birth,    Moldova,40
Recent immigrants by selected places of birth,    Romania,10
Recent immigrants by selected places of birth,    Russian Federation,85
Recent immigrants by selected places of birth,    Ukraine,325
Recent immigrants by selected places of birth,    United Kingdom,250
Recent immigrants by selected places of birth,    Other places of birth in Europe,555
Recent immigrants by selected places of birth,  Africa,1810
Recent immigrants by selected places of birth,    Algeria,0
Recent immigrants by selected places of birth,    Cameroon,0
Recent immigrants by selected places of birth,    Congo; Democratic Republic of the,110
Recent immigrants by selected places of birth,    Côte d'Ivoire,0
Recent immigrants by selected places of birth,    Egypt,35
Recent immigrants by selected places of birth,    Eritrea,90
Recent immigrants by selected places of birth,    Ethiopia,95
Recent immigrants by selected places of birth,    Morocco,20
Recent immigrants by selected places of birth,    Nigeria,490
Recent immigrants by selected places of birth,    Somalia,235
Recent immigrants by selected places of birth,    South Africa; Republic of,105
Recent immigrants by selected places of birth,    Tunisia,35
Recent immigrants by selected places of birth,    Other places of birth in Africa,590
Recent immigrants by selected places of birth,  Asia,12305
Recent immigrants by selected places of birth,    Afghanistan,115
Recent immigrants by selected places of birth,    Bangladesh,515
Recent immigrants by selected places of birth,    China,1275
Recent immigrants by selected places of birth,    Hong Kong,35
Recent immigrants by selected places of birth,    India,2855
Recent immigrants by selected places of birth,    Iran,75
Recent immigrants by selected places of birth,    Iraq,120
Recent immigrants by selected places of birth,    Israel,75
Recent immigrants by selected places of birth,    Japan,20
Recent immigrants by selected places of birth,    Korea; South,160
Recent immigrants by selected places of birth,    Lebanon,25
Recent immigrants by selected places of birth,    Nepal,135
Recent immigrants by selected places of birth,    Pakistan,1235
Recent immigrants by selected places of birth,    Philippines,4395
Recent immigrants by selected places of birth,    Saudi Arabia,50
Recent immigrants by selected places of birth,    Sri Lanka,30
Recent immigrants by selected places of birth,    Syria,435
Recent immigrants by selected places of birth,    Taiwan,25
Recent immigrants by selected places of birth,    Turkey,50
Recent immigrants by selected places of birth,    United Arab Emirates,55
Recent immigrants by selected places of birth,    Viet Nam,305
Recent immigrants by selected places of birth,    Other places of birth in Asia,310
Recent immigrants by selected places of birth,  Oceania and other,30
Recent immigrants by selected places of birth,    Australia,35
Recent immigrants by selected places of birth,    Other places of birth,0
Generation status,Total - Generation status for the population in private households - 25% sample data,211340
Generation status,  First generation,40980
Generation status,  Second generation,29340
Generation status,  Third generation or more,141020
Admission category and applicant type,Total - Admission category and applicant type for the immigrant population in private households who landed between 1980 and 2016 - 25% sample data,31430
Admission category and applicant type,  Economic immigrants,20925
Admission category and applicant type,    Principal applicants,8630
Admission category and applicant type,    Secondary applicants,12295
Admission category and applicant type,  Immigrants sponsored by family,5435
Admission category and applicant type,  Refugees,4985
Admission category and applicant type,  Other immigrants,85
Aboriginal population,Total - Aboriginal identity for the population in private households - 25% sample data,211340
Aboriginal population,  Aboriginal identity,20915
Aboriginal population,    Single Aboriginal responses,20510
Aboriginal population,      First Nations (North American Indian),12905
Aboriginal population,      Métis,7525
Aboriginal population,      Inuk (Inuit),75
Aboriginal population,    Multiple Aboriginal responses,215
Aboriginal population,    Aboriginal responses not included elsewhere,190
Aboriginal population,  Non-Aboriginal identity,190430
Aboriginal population,Total - Population by Registered or Treaty Indian status for the population in private households - 25% sample data,211345
Aboriginal population,  Registered or Treaty Indian,12145
Aboriginal population,  Not a Registered or Treaty Indian,199195
Aboriginal population,Total - Aboriginal ancestry for the population in private households - 25% sample data,211340
Aboriginal population,  Aboriginal ancestry (only),8435
Aboriginal population,    Single Aboriginal ancestry (only),8040
Aboriginal population,      First Nations (North American Indian) single ancestry,6500
Aboriginal population,      Métis single ancestry,1525
Aboriginal population,      Inuit single ancestry,20
Aboriginal population,    Multiple Aboriginal ancestries (only),395
Aboriginal population,      First Nations (North American Indian) and Métis ancestries,385
Aboriginal population,      First Nations (North American Indian) and Inuit ancestries,0
Aboriginal population,      Métis and Inuit ancestries,0
Aboriginal population,      First Nations (North American Indian); Métis and Inuit ancestries,10
Aboriginal population,  Aboriginal and non-Aboriginal ancestries,12900
Aboriginal population,    Single Aboriginal and non-Aboriginal ancestries,12165
Aboriginal population,      First Nations (North American Indian) and non-Aboriginal ancestries,6750
Aboriginal population,      Métis and non-Aboriginal ancestries,5340
Aboriginal population,      Inuit and non-Aboriginal ancestries,75
Aboriginal population,    Multiple Aboriginal and non-Aboriginal ancestries,735
Aboriginal population,      First Nations (North American Indian); Métis and non-Aboriginal ancestries,735
Aboriginal population,      First Nations (North American Indian); Inuit and non-Aboriginal ancestries,0
Aboriginal population,      Métis; Inuit and non-Aboriginal ancestries,0
Aboriginal population,      First Nations (North American Indian); Métis; Inuit and non-Aboriginal ancestries,0
Aboriginal population,  Non-Aboriginal ancestry (only),190005
Visible minority population,Total - Visible minority for the population in private households - 25% sample data,211340
Visible minority population,  Total visible minority population,40725
Visible minority population,    South Asian,12330
Visible minority population,    Chinese,5545
Visible minority population,    Black,6330
Visible minority population,    Filipino,8410
Visible minority population,    Latin American,1175
Visible minority population,    Arab,1535
Visible minority population,    Southeast Asian,2655
Visible minority population,    West Asian,740
Visible minority population,    Korean,590
Visible minority population,    Japanese,285
Visible minority population,    Visible minority; n.i.e.,350
Visible minority population,    Multiple visible minorities,790
Visible minority population,  Not a visible minority,170615
Ethnic origin population,Total - Ethnic origin for the population in private households - 25% sample data,211340
Ethnic origin population,  North American Aboriginal origins,21330
Ethnic origin population,    First Nations (North American Indian),14375
Ethnic origin population,    Inuit,100
Ethnic origin population,    Métis,7990
Ethnic origin population,  Other North American origins,41800
Ethnic origin population,    Acadian,100
Ethnic origin population,    American,2675
Ethnic origin population,    Canadian,39785
Ethnic origin population,    New Brunswicker,0
Ethnic origin population,    Newfoundlander,35
